date,exchange_rate
1067948401000,9.666
1067951448000,9.677
1067955302000,9.699
1068023315000,9.673
1068029643000,9.7
1068030485000,9.677
1068042477000,9.672
1068047157000,9.677
1068110430000,9.709
1068122333000,9.68
1068128374000,9.691
1068195093000,9.709
1068197157000,9.778
1068200706000,9.763
1068203905000,9.781
1068214501000,9.757
1068215793000,9.799
1068220711000,9.829
1068221475000,9.814
1068455149000,9.794
1068459168000,9.795
1068470307000,9.807
1068476962000,9.798
1068480995000,9.813
1068541120000,9.8
1068545728000,9.791
1068549393000,9.8
1068556472000,9.822
1068564660000,9.807
1068627327000,9.823
1068631782000,9.831
1068645934000,9.842
1068649297000,9.833
1068653458000,9.855
1068714519000,9.875
1068716073000,9.887
1068718098000,9.895
1068731667000,9.938
1068736433000,9.914
1068800647000,9.923
1068802572000,9.937
1068822975000,9.96
1068826298000,9.941
1069058931000,9.948
1069062924000,9.983
1069070038000,9.949
1069080958000,9.967
1069146053000,9.941
1069157153000,9.922
1069162133000,9.942
1069168260000,9.961
1069168541000,9.957
1069171559000,9.981
1069232456000,9.968
1069237127000,9.964
1069249779000,9.985
1069254625000,9.968
1069319091000,9.966
1069321556000,9.929
1069326059000,9.921
1069333450000,9.941
1069405438000,9.915
1069406450000,9.899
1069413764000,9.924
1069418943000,9.925
1069422923000,9.953
1069428342000,9.947
1069428793000,9.932
1069664620000,9.935
1069667980000,9.936
1069680302000,9.931
1069751402000,9.922
1069753119000,9.946
1069769897000,9.912
1069773351000,9.925
1069836505000,9.919
1069839650000,9.941
1069845370000,9.937
1069859195000,9.934
1069922919000,9.922
1069932593000,9.869
1069941650000,9.885
1069943935000,9.887
1069948414000,9.885
1070009700000,9.907
1070011858000,9.888
1070020553000,9.871
1070026860000,9.89
1070035321000,9.867
1070268929000,9.9
1070276954000,9.932
1070289164000,9.915
1070354615000,9.911
1070369646000,9.919
1070373052000,9.897
1070378285000,9.913
1070441151000,9.896
1070444862000,9.875
1070445656000,9.889
1070445937000,9.901
1070446704000,9.925
1070449813000,9.91
1070454656000,9.934
1070462339000,9.922
1070467175000,9.942
1070528635000,9.939
1070531946000,9.967
1070543032000,9.978
1070551175000,9.975
1070615030000,9.98
1070616602000,9.965
1070620852000,9.961
1070632150000,9.985
1070874793000,10.004
1070879291000,10.031
1070883943000,10.055
1070884494000,10.042
1070890295000,10.061
1070959807000,10.057
1070969303000,10.061
1070970951000,10.07
1070983139000,10.059
1071046178000,10.013
1071050031000,10.018
1071059459000,10.025
1071062340000,10.054
1071133480000,9.979
1071135536000,9.968
1071138239000,9.986
1071141836000,9.997
1071143102000,9.975
1071150648000,10.005
1071153979000,9.962
1071218903000,9.999
1071223892000,10.021
1071229412000,10.001
1071234075000,10.014
1071238400000,9.996
1071244503000,10.001
1071245747000,10.009
1071481270000,9.987
1071499836000,9.995
1071502257000,10.002
1071565349000,9.979
1071583818000,9.966
1071584674000,9.956
1071651292000,9.962
1071666875000,9.948
1071669591000,9.966
1071738004000,9.926
1071742258000,9.921
1071757257000,9.918
1071824921000,9.931
1071826154000,9.94
1071848289000,9.899
1071848699000,9.876
1072083371000,9.89
1072083994000,9.894
1072085754000,9.876
1072093132000,9.867
1072099106000,9.875
1072106974000,9.857
1072107596000,9.859
1072170272000,9.834
1072171861000,9.827
1072174555000,9.85
1072181179000,9.854
1072194899000,9.872
1072688560000,9.87
1072692627000,9.855
1072702868000,9.85
1072708415000,9.854
1072714064000,9.875
1072777525000,9.856
1072780128000,9.876
1072784759000,9.892
1072790725000,9.87
1072798455000,9.886
1072799940000,9.892
1072860995000,9.896
1072870133000,9.875
1072870576000,9.856
1073293144000,9.872
1073296146000,9.853
1073379052000,9.771
1073381755000,9.719
1073383255000,9.682
1073385546000,9.719
1073387284000,9.727
1073394275000,9.743
1073465623000,9.722
1073473879000,9.752
1073475104000,9.764
1073476218000,9.748
1073483959000,9.752
1073552000000,9.749
1073559900000,9.766
1073561453000,9.777
1073563549000,9.755
1073566597000,9.769
1073568356000,9.745
1073571562000,9.772
1073638104000,9.758
1073640511000,9.746
1073647399000,9.731
1073652827000,9.753
1073658898000,9.776
1073897673000,9.764
1073918332000,9.753
1073980855000,9.732
1073983804000,9.71
1073987642000,9.745
1073988536000,9.742
1073990093000,9.744
1073991338000,9.725
1073994876000,9.721
1073997975000,9.739
1074009201000,9.701
